"region","count"
"Россия, Московская область, Шатура",18
"Великобритания, England, London",18
"Россия, Московская область, Можайск",18
"Россия, Башкортостан, Сибай",18
"Россия, Тверская область, Удомля",18
"Россия, Владимирская область, Кольчугино",18
"Россия, Ненецкий АО, Нарьян-Мар",18
"_, Донецкая область, Славянск",18
"Россия, Архангельская область, Вельск",18
"Украина, Одесская область, Измаил",18
"Россия, Иркутская область, Саянск",18
"Россия, Хакасия, Саяногорск",18
"Россия, Ленинградская область, Кронштадт",18
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Урай",18
"Казахстан, Кустанайская область, Рудный",18
"Россия, Тульская область, Ефремов",17
"Россия, Смоленская область, Гагарин",17
"Россия, Коми, Инта",17
"Россия, Краснодарский край, Горячий Ключ",17
"Россия, Татарстан, Бавлы",17
"Россия, Карелия, Сортавала",17
"Россия, Пермский край, Чернушка",17
"Россия, Тверская область, Кимры",17
"Россия, Самарская область, Жигулевск",17
"Россия, Краснодарский край, Кропоткин",17
"Эстония, Tallinn",17
"Россия, Тверская область, Торжок",17
"Россия, Челябинская область, Сатка",17
"Россия, Ставропольский край, Михайловск",17
"Россия, Мордовия, Рузаевка",17
"Россия, Нижегородская область, Балахна",17
"Россия, Ростовская область, Новошахтинск",17
"Россия, Алтайский край, Заринск",17
"Украина, Черкасская область, Смела",16
"Россия, Московская область, Куровское",16
"Россия, Московская область, Московский",16
"Россия, Тверская область, Конаково",16
"Россия, Мурманская область, Заполярный",16
"Таджикистан, Душанбе",16
"Россия, Удмуртия, Можга",16
"Россия, Московская область, Железнодорожный",16
"Россия, Мурманская область, Кировск",16
"Россия, Крым, Красноперекопск",16
"Россия, Тульская область, Щекино",15
"Россия, Рязанская область, Рыбное",15
"Украина, Ивано-Франковская область, Калуш",15
"Украина, Закарпатская область, Мукачево",15
"Россия, Рязанская область, Лесной",15
"Германия, Berlin",15
"Россия, Свердловская область, Реж",15
"Россия, Челябинская область, Трехгорный",15
"Казахстан, Западно-Казахстанская область, Аксай",15
"_, Донецкая область, Красноармейск",15
"Россия, Кемеровская область, Осинники",15
"Россия, Белгородская область, Новый Оскол",15
"Россия, Смоленская область, Вязьма",15
"Россия, Крым, Алушта",15
"Россия, Челябинская область, Коркино",15
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Югорск",15
"Россия, Татарстан, Менделеевск",15
"_, Луганская область, Стаханов",15
"Россия, Красноярский край, Шарыпово",15
"Россия, Коми, Усинск",15
"Украина, Ивано-Франковская область, Коломыя",15
"Россия, Амурская область, Свободный",15
"США, Boston",15
"Россия, Ямало-Ненецкий  АО, Лабытнанги",14
"Россия, Московская область, Дедовск",14
"Россия, Калининградская область, Светлогорск",14
"Россия, Краснодарский край, Каневская",14
"Россия, Приморский край, Арсеньев",14
"Россия, Саратовская область, Вольск",14
"Россия, Кемеровская область, Топки",14
"Россия, Забайкальский край, Краснокаменск",14
"Россия, Московская область, д/о Щелково",14
"Россия, Пермский край, Кудымкар",14
"Россия, Пермский край, Добрянка",14
"Украина, Полтавская область, Лубны",14
"Россия, Архангельская область, Новодвинск",14
"Россия, Калининградская область, Балтийск",14
"Украина, Сумская область, Конотоп",14
"Россия, Московская область, Талдом",14
"Россия, Смоленская область, Десногорск",14
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Белоярский",14
"Россия, Дагестан, Каспийск",14
"Россия, Московская область, Звенигород",14
"Россия, Московская область, Протвино",13
"Россия, Татарстан, Буинск",13
"Россия, Брянская область, Крым",13
"Россия, Алтайский край, Славгород",13
"Россия, Свердловская область, Красноуфимск",13
"Россия, Владимирская область, Радужный",13
"Россия, Новосибирская область, Барабинск",13
"Россия, Ленинградская область, Сосновый Бор",13
"Россия, Свердловская область, Сысерть",13
"Польша, Warszawa",13
"Молдова, Бендеры",13
"Россия, Кемеровская область, Мыски",13
"Россия, Пермский край, Губаха",13
"Россия, Свердловская область, Тавда",13
"Россия, Ленинградская область, Петергоф",13
"Россия, Московская область, Хотьково",13
"Россия, Иркутская область, Шелехов",13
"Россия, Челябинская область, Кыштым",13
"Украина, Львовская область, Дрогобыч",13
"Россия, Липецкая область, Лебедянь",13
"_, Запорожская область, Энергодар",13
"Россия, Сахалинская область, Сокол",12
"Россия, Мурманская область, Полярные Зори",12
"Россия, Нижегородская область, Заволжье",12
"Россия, Чувашия, Шумерля",12
"_, Донецкая область, Константиновка",12
"Россия, Орловская область, Ливны",12
"Россия, Свердловская область, Заречный",12
"Россия, Татарстан, Кукмор",12
"Россия, Ленинградская область, Сланцы",12
"Россия, Татарстан, Арск",12
"_, Херсонская область, Новая Каховка",12
"Украина, Житомирская область, Бердичев",12
"Россия, Новгородская область, Старая Русса",12
"Россия, Сахалинская область, Корсаков",12
"Россия, Свердловская область, Североуральск",12
"Россия, Нижегородская область, Богородск",12
"Россия, Московская область, Грязи",12
"Украина, Черниговская область, Нежин",12
"Россия, Кемеровская область, Междуреченск",12
"Россия, Самарская область, Отрадный",12
"Россия, Краснодарский край, Усть-Лабинск",12
"Россия, Дагестан, Дербент",12
"Россия, Свердловская область, Карпинск",12
"Россия, Нижегородская область, Кулебаки",12
"Россия, Северная Осетия - Алания, Моздок",12
"Украина, Одесская область, Ильичевск",11
"Россия, Воронежская область, Павловск",11
"Россия, Смоленская область, Ярцево",11
"_, Донецкая область, Дружковка",11
"Россия, Башкортостан, Мичуринск",11
"Россия, Московская область, Электрогорск",11
"Россия, Ленинградская область, Подпорожье",11
"Россия, Мурманская область, Сафоново",11
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Лянтор",11
"Казахстан, Павлодарская область, Экибастуз",11
"Россия, Челябинская область, Чебаркуль",11
"Россия, Ленинградская область, Сясьстрой",11
"Россия, Московская область, Черноголовка",11
"Россия, Краснодарский край, Курганинск",11
"Казахстан, Карагандинская область, Жезказган",11
"Казахстан, Кзыл-Ординская область, Кызылорда ",11
"Россия, Краснодарский край, Гулькевичи",11
"Россия, Рязанская область, Касимов",11
"Россия, Краснодарский край, Новокубанск",11
"Россия, Смоленская область, Сафоново",11
"Чехия, Praha",11
"Россия, Челябинская область, Карталы",11
"Россия, Томская область, Стрежевой",11
"Россия, Татарстан, Татарстан",11
"Беларусь, Гродненская область, Слоним",11
"Россия, Свердловская область, Ирбит",11
"Россия, Калужская область, Людиново",11
"Россия, Калининградская область, Советск",11
"Россия, Ямало-Ненецкий  АО, Муравленко",11
"Украина, Житомирская область, Новоград-Волынский",11
"Россия, Московская область, Кубинка",11
"Россия, Свердловская область, Богданович",11
"Россия, Карелия, Медвежьегорск",11
"Россия, Тверская область, Бежецк",10
"Украина, Днепропетровская область, Желтые Воды",10
"Россия, Ростовская область, Сухой Лог",10
"Россия, Ленинградская область, Отрадное",10
"Россия, Свердловская область, Алапаевск",10
"_, Луганская область, Свердловск",10
"Россия, Ленинградская область, Лодейное Поле",10
"Россия, Хабаровский край, Амурск",10
"Россия, Тамбовская область, Котовск",10
"_, Донецкая область, Енакиево",10
"Украина, Хмельницкая область, Славута",10
"Россия, Кировская область, Слободской",10
"Россия, Ленинградская область, Светогорск",10
"Россия, Татарстан, Нурлат",10
"Россия, Коми, Печора",10
"Россия, Московская область, Бронницы",10
"Россия, Московская область, Руза",10
"_, Херсонская область, Каховка",10
"_, Луганская область, Краснодон",10
"Россия, Астраханская область, Ахтубинск",10
"Япония, Tokyo",10
"Россия, Ленинградская область, Приозерск",10
"Россия, Воронежская область, Семилуки",10
"Латвия, Daugavpils",10
"Россия, Калининградская область, Гусев",10
"Украина, Киевская область, Фастов",9
"Россия, Крым, Армянск",9
"Россия, Московская область, Балабаново",9
"_, Запорожская область, Днепрорудное",9
"Россия, Ханты-Мансийский Автономный округ - Югра АО, Пыть-Ях",9
"Россия, Мурманская область, Гаджиево",9
"Россия, Краснодарский край, Апшеронск",9
"Россия, Воронежская область, Бобров",9
"Россия, Свердловская область, Среднеуральск",9
"Россия, Бурятия, Гусиноозерск",9
"Россия, Ингушетия, Назрань",9
"Россия, Свердловская область, Красноуральск",9
"Россия, Алтайский край, Камень-на-Оби",9
"Россия, Ленинградская область, Горки",9
"Россия, Воронежская область, Калач",9
"Россия, Московская область, Голицыно",9
"Россия, Краснодарский край, Абинск",9
"Россия, Московская область, Дрезна",9
"Украина, Киевская область, Славутич",9
"Россия, Ленинградская область, Пикалево",9
"Россия, Саха /Якутия/, Мирный",9
"Россия, Ямало-Ненецкий  АО, Пангоды",9
"Россия, Ленинградская область, Ломоносов",9
"Россия, Краснодарский край, Динская",9
"Россия, Татарстан, Джалиль",9
"Россия, Челябинская область, Верхний Уфалей",9
"Россия, Воронежская область, Южный",9
"Беларусь, Минская область, Смолевичи",9
"Россия, Ярославская область, Данилов",9
"Россия, Кировская область, Яранск",9
"Россия, Карелия, Беломорск",9
"Россия, Кемеровская область, Мариинск",9
"Нидерланды, Amsterdam",9
"Россия, Нижегородская область, Городец",9
